City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
232,Guerrero Negro,MX,76.84,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
233,Salalah,OM,82.49,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
234,Bosaso,SO,84.56,clear sky,11.2842,49.1816,Red Sea Hotel
238,Virginia Beach,US,89.65,broken clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
241,Tomatlan,MX,89.47,clear sky,19.9333,-105.25,El Salvial
246,Moerai,PF,79.93,overcast clouds,-22.4333,-151.3333,Le Manotel
248,Dwarka,IN,81.36,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
252,Karratha,AU,79.72,light rain,-20.7377,116.8463,ibis Styles Karratha
255,Cabo San Lucas,MX,88.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
256,Brownsville,US,75.15,overcast clouds,25.9018,-97.4975,Best Western Hotel Plaza Matamoros
261,Olinda,BR,83.93,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
264,Biak,ID,77.27,overcast clouds,-0.9131,122.8766,Penginapan Kim
274,Padang,ID,78.67,overcast clouds,-0.9492,100.3543,Mercure Padang
279,Tarata,BO,78.08,clear sky,-17.6167,-66.0167,Hacienda castillo
284,Iralaya,HN,80.67,overcast clouds,15.0,-83.2333,Iglesia morava renovada
286,Waddan,LY,80.22,broken clouds,29.1614,16.139,محل الشريف محمد العايب
287,Santa Isabel Do Rio Negro,BR,75.96,moderate rain,-0.4139,-65.0192,Hotel GSA
288,Sao Gabriel Da Cachoeira,BR,75.43,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
295,Maceio,BR,80.04,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
296,Gushikawa,JP,77.0,overcast clouds,26.3544,127.8686,Kirari Guest House
298,Awjilah,LY,83.16,broken clouds,29.1081,21.2869,المنزل
299,Ocosingo,MX,80.58,few clouds,17.0667,-92.25,Chabek lumil
302,Kathu,TH,88.7,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
304,Grand Gaube,MU,76.37,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
315,Ternate,ID,80.85,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
316,Takoradi,GH,81.03,broken clouds,4.8845,-1.7554,Raybow International Hotel
318,Elizabeth City,US,89.06,few clouds,36.2946,-76.2511,Hampton Inn Elizabeth City
319,Bengkulu,ID,77.47,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
322,Russell,US,77.13,few clouds,32.3502,-85.1999,Macs
324,Xuddur,SO,75.34,overcast clouds,4.1213,43.8894,Banjanay Hotel
327,Ranong,TH,79.5,few clouds,9.9658,98.6348,Tinidee Hotel@Ranong
329,Beni Suef,EG,76.66,clear sky,29.0731,31.0979,Jewel Inn Beni Suef
330,Hatta,IN,89.28,clear sky,24.1167,79.6,Agrawal Marriage Garden Bharat Tent House
332,Phan Thiet,VN,77.7,overcast clouds,10.9333,108.1,Hotel Saigon-PT
334,Dorado,PR,81.86,scattered clouds,18.4588,-66.2677,Embassy Suites by Hilton Dorado del Mar Beach Resort
336,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
340,Lufilufi,WS,81.75,moderate rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
350,Torit,SS,75.27,light rain,4.4133,32.5678,Diplomat Guest House
351,Otukpo,NG,80.56,light rain,7.1913,8.1329,Queen s Hotel
356,Iaciara,BR,87.21,clear sky,-14.0958,-46.6317,Hotel Matinha
357,Yenagoa,NG,79.3,broken clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
362,Mineros,BO,87.03,overcast clouds,-17.1167,-63.2333,Colpacaranda Eco Resort
366,Sorong,ID,78.37,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
369,Tabas,IR,78.39,overcast clouds,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
372,Aplahoue,BJ,79.52,broken clouds,6.9333,1.6833,Hotel Immaculee
375,Zaida,PK,76.93,clear sky,34.0603,72.4678,Al-Jannat Garments and Boutique Zaida.
376,Sao Filipe,CV,75.83,few clouds,14.8961,-24.4956,Hotel Xaguate
377,Montalvo,EC,83.44,light rain,-1.8,-79.3333,Motel Los Laureles
379,Abonnema,NG,80.94,overcast clouds,4.7084,6.7931,Corper's Lodge Obonoma
380,Bairiki,KI,82.4,light rain,1.3292,172.9752,Tarawa Boutique Hotel
385,Tautira,PF,81.46,light rain,-17.7333,-149.15,Pension Oaoa
392,Kavaratti,IN,85.03,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
393,Mount Pleasant,US,89.19,few clouds,32.7941,-79.8626,Best Western Patriots Point
394,Luanda,AO,76.19,moderate rain,-8.8368,13.2343,EPIC SANA Luanda
396,Ciudad Bolivar,VE,84.74,overcast clouds,8.1222,-63.5497,Hotel Edi
400,Temoac,MX,76.39,broken clouds,18.7667,-98.7833,Posada Frida
405,Norsup,VU,79.25,overcast clouds,-16.0667,167.3833,Nabelchel Bungalows
407,Sola,VU,81.36,overcast clouds,-13.8833,167.55,Leumerus Bungalows
408,Kieta,PG,79.07,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
409,Doha,QA,78.78,clear sky,25.2867,51.5333,Movenpick Hotel Doha
410,Souillac,MU,75.58,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
413,Mogadishu,SO,82.74,broken clouds,2.0371,45.3438,Hotel Juba
425,Puerto Maldonado,PE,77.4,moderate rain,-12.6,-69.1833,Wasai Hotel
427,Meulaboh,ID,76.64,overcast clouds,4.1363,96.1285,Kost Pria
435,Mitsamiouli,KM,80.96,light rain,-11.3847,43.2844,Foyer ADM
437,Turbat,PK,85.42,clear sky,26.0023,63.044,Mubashar Quarters
440,Champa,IN,83.88,broken clouds,22.05,82.65,Hotel Jaipuria
456,Sungairaya,ID,80.22,overcast clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
457,Vanimo,PG,77.88,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
462,La Libertad,EC,78.46,few clouds,-2.2333,-80.9,Playa Canela Hotel Boutique
466,San Pedro,PH,82.26,few clouds,14.35,121.0167,Esquivel's Garden And Resort
469,Pontianak,ID,75.18,overcast clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
473,Sao Pedro Do Sul,BR,78.78,broken clouds,-29.6206,-54.1789,Sítio Hotel e Eventos
474,Jaisalmer,IN,89.13,clear sky,26.9147,70.9181,Hotel Fifu
485,Maldonado,UY,77.23,broken clouds,-34.6667,-54.9167,La Cimarrona
487,Mersing,MY,75.11,few clouds,2.4312,103.8405,Timotel Hotel
495,Lahaina,US,82.4,scattered clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
498,Porto Novo,BJ,82.22,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
502,Bonthe,SL,81.0,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
505,Richmond,US,76.66,heavy intensity rain,37.5538,-77.4603,"Holiday Inn Express Richmond - Downtown, an IHG Hotel"
507,Upata,VE,84.56,overcast clouds,8.0086,-62.3989,Posada Villa Nela
524,Bandarbeyla,SO,81.81,clear sky,9.4942,50.8122,JABIR HOTEL
527,Isangel,VU,76.37,overcast clouds,-19.55,169.2667,Tanna Lodge
534,Samarai,PG,81.07,overcast clouds,-10.6167,150.6667,Nuli Sapi
539,Domoni,KM,79.34,few clouds,-12.2569,44.5319,Al Djadid
546,Singkang,MY,77.05,overcast clouds,2.1006,102.7994,Kampung Seri Makmor Pagoh
547,San Diego,US,87.08,scattered clouds,32.7153,-117.1573,Hilton San Diego Bayfront
551,Daru,PG,79.86,overcast clouds,-9.0763,143.2092,Daru Lodge
552,Surat,IN,83.97,clear sky,21.1667,72.8333,HOTEL VETROINN SPICE
553,Pangkalanbuun,ID,75.42,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
556,Garowe,SO,78.85,scattered clouds,8.4054,48.4845,Curubo Hotel
557,Dhidhdhoo,MV,84.56,overcast clouds,6.8833,73.1,Dhidhoo beach
558,Cartagena Del Chaira,CO,85.46,overcast clouds,1.3349,-74.8429,HOTEL LA ROCA
559,Kupang,ID,75.43,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
561,Kutum,SD,80.4,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
566,Ambon,ID,81.21,broken clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
567,Canutama,BR,82.35,overcast clouds,-6.5339,-64.3831,Hotel Jhennifer
571,Orange,US,89.67,broken clouds,33.7,-117.7675,Meadows
574,Sur,OM,87.26,clear sky,22.5667,59.5289,Sur Plaza Hotel
575,Kouroussa,GN,89.78,clear sky,10.65,-9.8833,Hotel Tando Plus
576,West University Place,US,80.26,clear sky,29.718,-95.4338,La Quinta Inn by Wyndham Houston Greenway Plaza Medical Area
578,Gopalpur,IN,80.64,clear sky,19.2667,84.9167,Gopalpur Palm Resort
580,Maningrida,AU,76.39,scattered clouds,-12.0667,134.2667,Dhukurrdji Lodge
582,Shushtar,IR,80.53,light rain,32.0455,48.8567,چاپ یاس کبود
584,Sechura,PE,79.97,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
586,Niquero,CU,82.83,few clouds,20.0431,-77.5828,Islazul Niquero
587,Sibolga,ID,77.85,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
595,Porbandar,IN,81.14,clear sky,21.6422,69.6093,Lords Inn Porbandar
598,Mauriti,BR,85.03,broken clouds,-7.3892,-38.7744,Hotel Pedra da Letra
599,Sabang,ID,84.16,overcast clouds,5.8933,95.3214,Hotel Citra
601,Sabha,LY,85.69,overcast clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
