City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
299,Ocosingo,MX,17.0667,-92.25,80.58,46,13,5.88,few clouds
300,Debar,MK,41.525,20.5275,51.31,85,0,2.15,clear sky
301,Longyan,CN,25.1072,117.0225,70.2,95,16,1.66,few clouds
302,Kathu,TH,7.9178,98.3332,88.7,68,88,9.22,overcast clouds
303,Adrar,MR,20.5022,-10.0711,76.55,25,0,10.49,clear sky
304,Grand Gaube,MU,-20.0064,57.6608,76.37,76,9,3.0,clear sky
305,Seoul,KR,37.5683,126.9778,56.59,21,28,10.09,scattered clouds
306,Madisonville,US,37.3281,-87.4989,59.22,43,0,5.99,clear sky
307,Valleyview,CA,55.0667,-117.2859,49.57,50,100,9.98,overcast clouds
308,Hamamatsu,JP,34.7,137.7333,69.03,95,100,13.0,light rain
309,Svetlyy,RU,54.675,20.1347,41.97,74,21,4.29,few clouds
310,Charters Towers,AU,-20.1,146.2667,66.36,94,0,4.41,clear sky
311,Murgab,TM,37.4966,61.9714,75.22,35,94,15.84,overcast clouds
312,Port Macquarie,AU,-31.4333,152.9167,60.89,88,100,2.82,overcast clouds
313,Byron Bay,AU,-28.65,153.6167,61.95,84,100,4.61,overcast clouds
314,Madingou,CG,-4.1536,13.55,74.03,94,96,0.29,overcast clouds
315,Ternate,ID,0.8,127.4,80.85,81,98,5.23,overcast clouds
316,Takoradi,GH,4.8845,-1.7554,81.03,85,82,7.85,broken clouds
317,Klyuchi,RU,52.2667,79.1667,47.66,75,78,4.7,broken clouds
318,Elizabeth City,US,36.2946,-76.2511,89.06,46,20,16.11,few clouds
319,Bengkulu,ID,-3.8004,102.2655,77.47,89,53,5.44,broken clouds
320,Yulara,AU,-25.2406,130.9889,57.04,54,98,3.44,overcast clouds
321,Townsend,US,39.3951,-75.6916,68.79,74,97,10.29,overcast clouds
322,Russell,US,32.3502,-85.1999,77.13,65,20,9.22,few clouds
323,Nizhniy Kuranakh,RU,58.8353,125.4869,19.27,97,61,2.73,broken clouds
324,Xuddur,SO,4.1213,43.8894,75.34,76,100,1.36,overcast clouds
325,Gijon,ES,43.5357,-5.6615,58.84,95,100,1.99,overcast clouds
326,Ahipara,NZ,-35.1667,173.1667,62.53,71,96,6.98,overcast clouds
327,Ranong,TH,9.9658,98.6348,79.5,83,22,0.98,few clouds
328,Brae,GB,60.3964,-1.353,42.08,62,93,9.89,overcast clouds
329,Beni Suef,EG,29.0731,31.0979,76.66,28,10,17.83,clear sky
330,Hatta,IN,24.1167,79.6,89.28,11,0,2.44,clear sky
331,Pryozerne,UA,45.2698,36.3303,57.83,62,100,8.61,overcast clouds
332,Phan Thiet,VN,10.9333,108.1,77.7,88,100,3.62,overcast clouds
333,Bowen,AU,-20.0167,148.2333,73.6,86,24,9.89,few clouds
334,Dorado,PR,18.4588,-66.2677,81.86,72,40,10.36,scattered clouds
335,Banamba,ML,13.55,-7.45,90.37,12,0,8.95,clear sky
336,Bathsheba,BB,13.2167,-59.5167,81.21,83,40,8.05,scattered clouds
337,Martinsville,US,36.6915,-79.8725,66.61,77,100,4.61,overcast clouds
338,Grammenitsa,GR,39.1831,20.9806,64.8,74,0,2.75,clear sky
339,Hami,CN,42.8,93.45,56.21,51,100,6.67,overcast clouds
340,Lufilufi,WS,-13.8745,-171.5986,81.75,74,85,8.61,moderate rain
341,Moree,AU,-29.4667,149.85,60.82,77,75,9.22,light rain
342,Van,TR,38.4924,43.3831,51.15,87,75,4.61,broken clouds
343,Koeru,EE,58.9631,26.0308,35.2,78,60,3.2,broken clouds
344,Maneadero,MX,31.7167,-116.5667,66.09,79,100,4.0,overcast clouds
345,Bonavista,CA,48.6499,-53.1147,36.03,88,40,7.27,scattered clouds
346,Port-Cartier,CA,50.0334,-66.8654,36.75,100,100,1.07,overcast clouds
347,Waingapu,ID,-9.6567,120.2641,74.95,71,99,4.36,overcast clouds
348,Songjianghe,CN,42.1859,127.479,28.56,72,1,2.98,clear sky
