City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
120,Khatanga,RU,2022-04-16 17:54:56,71.9667,102.5,19.17,96,97,4.16
121,Talnakh,RU,2022-04-16 17:50:58,69.4865,88.3972,24.21,94,100,5.3
122,Dikson,RU,2022-04-16 17:54:57,73.5069,80.5464,13.1,94,100,14.72
123,Saskylakh,RU,2022-04-16 17:52:22,71.9167,114.0833,10.58,93,100,12.28
124,Nouadhibou,MR,2022-04-16 17:51:53,20.931,-17.0347,67.98,77,20,19.57
125,Lebu,CL,2022-04-16 17:54:57,-37.6167,-73.65,60.58,69,2,13.73
126,Soto La Marina,MX,2022-04-16 17:54:57,23.7667,-98.2167,91.78,31,3,14.34
127,Kez,RU,2022-04-16 17:54:58,57.8979,53.7152,27.01,94,100,3.02
128,Kushmurun,KZ,2022-04-16 17:54:58,52.4503,64.6311,49.19,59,95,6.13
129,Pedasi,PA,2022-04-16 17:55:59,7.5333,-80.0333,85.21,65,99,11.79
130,Balkanabat,TM,2022-04-16 17:55:59,39.5108,54.3671,59.25,58,100,5.97
131,Hobart,AU,2022-04-16 17:56:00,-42.8794,147.3294,53.28,91,89,5.75
132,Tual,ID,2022-04-16 17:56:00,-5.6667,132.75,83.79,74,95,5.46
133,Youkounkoun,GN,2022-04-16 17:56:00,12.5333,-13.1333,105.35,8,18,5.17
134,Northam,GB,2022-04-16 17:56:01,51.0333,-4.2167,57.25,85,100,7.09
135,Avera,US,2022-04-16 17:53:31,33.194,-82.5271,69.85,88,100,4.0
136,Arawa,PG,2022-04-16 17:56:01,-6.2132,155.5367,76.41,91,100,1.16
137,College,US,2022-04-16 17:56:02,64.8569,-147.8028,21.18,38,0,4.61
138,Nabire,ID,2022-04-16 17:55:06,-3.3667,135.4833,76.6,91,100,2.13
139,Vostok,RU,2022-04-16 17:56:02,46.4856,135.8833,25.81,91,94,5.48
140,Coquimbo,CL,2022-04-16 17:56:03,-29.9533,-71.3436,62.33,63,0,14.97
141,Carnarvon,AU,2022-04-16 17:56:03,-24.8667,113.6333,77.07,69,75,16.11
142,Belyy Yar,RU,2022-04-16 17:56:04,53.6039,91.3903,40.89,45,24,4.47
143,Ossora,RU,2022-04-16 17:56:04,59.2353,163.0719,19.62,80,100,6.64
144,Sorland,NO,2022-04-16 17:56:04,67.667,12.6934,42.69,95,96,12.8
145,Bredasdorp,ZA,2022-04-16 17:56:05,-34.5322,20.0403,59.49,69,22,14.74
146,Ancud,CL,2022-04-16 17:56:05,-41.8697,-73.8203,66.22,67,28,4.79
147,Kloulklubed,PW,2022-04-16 17:56:06,7.0419,134.2556,82.06,73,80,2.8
148,Mandalgovi,MN,2022-04-16 17:56:06,45.7625,106.2708,36.54,44,99,9.95
149,Capitao Poco,BR,2022-04-16 17:56:06,-1.7464,-47.0594,81.63,86,81,5.75
150,Tiksi,RU,2022-04-16 17:56:07,71.6872,128.8694,-13.63,100,90,4.23
151,Akyab,MM,2022-04-16 17:56:08,20.15,92.9,81.72,82,11,3.09
152,Evansville,US,2022-04-16 17:53:59,37.9748,-87.5558,61.18,60,0,10.36
153,Lazarev,RU,2022-04-16 17:56:08,52.225,141.5131,27.41,89,100,8.55
154,Pisco,PE,2022-04-16 17:56:09,-13.7,-76.2167,75.25,60,0,17.27
155,Clyde River,CA,2022-04-16 17:56:09,70.4692,-68.5914,-5.57,84,100,3.44
156,Osakarovka,KZ,2022-04-16 17:56:10,50.565,72.5692,55.42,55,100,12.03
157,San Cristobal,VE,2022-04-16 17:56:10,7.7669,-72.225,78.98,48,94,8.19
158,Arroyo,ES,2022-04-16 17:56:11,41.6096,-4.7969,72.19,39,0,3.44
159,Saint George,US,2022-04-16 17:53:25,37.1041,-113.5841,75.25,20,0,13.8
160,Alofi,NU,2022-04-16 17:56:11,-19.0595,-169.9187,69.69,100,33,1.14
161,Opuwo,NA,2022-04-16 17:56:12,-18.0607,13.84,76.77,39,36,5.23
162,Yellowknife,CA,2022-04-16 17:56:12,62.456,-114.3525,7.32,56,75,11.5
163,Honningsvag,NO,2022-04-16 17:56:13,70.9821,25.9704,40.75,81,100,33.38
164,Sanchor,IN,2022-04-16 17:56:13,24.7553,71.7722,84.56,45,0,12.53
165,Vanderhoof,CA,2022-04-16 17:56:14,54.0166,-124.0198,37.02,42,100,2.95
166,Marawi,PH,2022-04-16 17:56:14,7.9986,124.2928,68.5,94,54,0.87
167,Beloha,MG,2022-04-16 17:56:14,-25.1667,45.05,75.69,78,25,4.54
168,Avarua,CK,2022-04-16 17:56:15,-21.2078,-159.775,75.25,94,59,2.3
169,Betioky,MG,2022-04-16 17:56:15,-23.7167,44.3833,78.76,63,61,10.8
170,Coahuayana,MX,2022-04-16 17:56:16,18.7333,-103.6833,90.73,38,37,7.18
171,Rantauprapat,ID,2022-04-16 17:56:16,2.1,99.8333,74.37,98,98,2.35
172,Guarare,PA,2022-04-16 17:56:16,7.8167,-80.2833,88.34,56,89,10.04
173,La Asuncion,VE,2022-04-16 17:56:17,11.0333,-63.8628,81.5,73,20,21.18
174,Guangyuan,CN,2022-04-16 17:56:17,32.442,105.823,50.47,91,100,0.07
175,Saint-Philippe,RE,2022-04-16 17:56:18,-21.3585,55.7679,76.59,80,51,14.25
176,Ringebu,NO,2022-04-16 17:56:18,61.5167,10.1667,38.48,88,46,2.64
177,Pato Branco,BR,2022-04-16 17:57:18,-26.2286,-52.6706,66.76,52,0,2.48
178,Mar Del Plata,AR,2022-04-16 17:57:19,-38.0023,-57.5575,68.02,75,20,12.66
179,Scarborough,GB,2022-04-16 17:57:19,54.2797,-0.4044,59.65,80,90,13.0
180,Dunedin,NZ,2022-04-16 17:54:43,-45.8742,170.5036,46.8,72,13,5.21
181,Igarka,RU,2022-04-16 17:57:20,67.4667,86.5833,28.72,97,100,13.02
182,Pacific Grove,US,2022-04-16 17:57:20,36.6177,-121.9166,57.42,93,75,13.8
